id,name,codice_ipa,seed_domain,claimed_domain,reject_reason,old_mx,old_provider,old_reason
IT-C14-copt,Collegio Delle Ostetriche della Provincia di Terni,copt,collegiostetricheterni.it,comune.terni.it,unrelated,mail.comune.terni.it,local-isp,"MX (mail.comune.terni.it, mail0.comune.terni.it) hosted on Local ISP (Telecom Italia/TIM (IT), Retelit (IT))"
IT-C14-cpa_006,Collegio Provinciale Agrotecnici e Agrotecnici laureati di Alessandria,cpa_006,alessandria.agrotecnicipiemonte.it,agrotecnici.it,unrelated,mx.agrotecnici.it,aruba,MX (mx.agrotecnici.it) on AS31034 (Aruba.it (IT)) -> aruba (ASN-based override)
IT-C14-cpalav,Collegio dei Periti Agrari e dei Periti Agrari Laureati di Avellino,cpalav,peritiagrariavellino.it,comune.avellino.it,unrelated,mailserver.comune.avellino.it,local-isp,MX (mailserver.comune.avellino.it) hosted on Local ISP (Fastweb (IT))
IT-C14-cpar,Collegio Provinciale Agrotecnici Ravenna,cpar,agrotecniciravenna.com,agrotecnici.it,unrelated,mx.agrotecnici.it,aruba,MX (mx.agrotecnici.it) on AS31034 (Aruba.it (IT)) -> aruba (ASN-based override)
IT-C14-cpclt,Consiglio Provinciale Consulenti del Lavoro di Teramo,cpclt,consulentidellavoroteramo.com,consulentidellavoro.it,unrelated,alt1.aspmx.l.google.com,google,"MX record (alt1.aspmx.l.google.com, alt2.aspmx.l.google.com) matches Google"
IT-C14-cpdad_9,Collegio Provinciale Degli Agrotecnici e Degli Agrotecnici Laureati di Siracusa,cpdad_9,agrotecnicisiracusa.it,agrotecnici.it,unrelated,mx.agrotecnici.it,aruba,MX (mx.agrotecnici.it) on AS31034 (Aruba.it (IT)) -> aruba (ASN-based override)
IT-C14-cpdoc,Ordine della Professione di Ostetrica della Provincia di Cosenza,cpdoc,ostetrichecs.it,libero.it,unrelated,smtp-in.libero.it,local-isp,MX (smtp-in.libero.it) hosted on Local ISP (Italiaonline / Matrix (IT))
IT-C14-cpdopte,Collegio Provinciale Delle Ostetriche della Provincia di Teramo,cpdopte,collegioostetricheteramo.it,comune.teramo.it,unrelated,mx-01-eu-west-1.prod.hydra.sophos.com,microsoft,MX is sophos gateway; MS365 tenant detected (Managed)
IT-C14-cpdpa_cb,Collegio dei Periti Agrari e dei Periti Agrari Laureati della Provincia di Campobasso,cpdpa_cb,peritiagraricb.it,peritiagrari.it,unrelated,mx0.mail.ovh.net,local-isp,"MX (mx0.mail.ovh.net, mx1.mail.ovh.net) hosted on Local ISP (OVH (FR))"
IT-C14-cpgglb,Collegio Provinciale Geometri e Geometri Laureati di Bari,cpgglb,bari.geometriapulia.net,cng.it,unrelated,mailfree.cng.it,aruba,MX (mailfree.cng.it) on AS31034 (Aruba.it (IT)) -> aruba (ASN-based override)
